タイトル,メモ,URL,タグ,コメント
Doggy’s Camp（ドギーズキャンプ）室内ドッグラン,室内ドッグラン,https://www.google.com/maps/place/Doggy%E2%80%99s+Camp%EF%BC%88%E3%83%89%E3%82%AE%E3%83%BC%E3%82%BA%E3%82%AD%E3%83%A3%E3%83%B3%E3%83%97%EF%BC%89%E5%AE%A4%E5%86%85%E3%83%89%E3%83%83%E3%82%B0%E3%83%A9%E3%83%B3/data=!4m2!3m1!1s0x6018f595896b9303:0x820fd410f7f89175,,
京都ラーメン よこ川,"外席があってワンコと一緒食べられます
となりの呑み屋のもつしげさんの外席も利用出来ます(系列店)",https://www.google.com/maps/place/%E4%BA%AC%E9%83%BD%E3%83%A9%E3%83%BC%E3%83%A1%E3%83%B3+%E3%82%88%E3%81%93%E5%B7%9D/data=!4m2!3m1!1s0x6018e50033138905:0xa50b659bfd8a2bba,,
もつしげ 府中店,暖季は外席が出てワンコ🆗です,https://www.google.com/maps/place/%E3%82%82%E3%81%A4%E3%81%97%E3%81%92+%E5%BA%9C%E4%B8%AD%E5%BA%97/data=!4m2!3m1!1s0x6018e5c8958f57b1:0xfacabdc8059b849d,,
Pizzeria CERVO,"テラス席ワンコ🆗です。
予約貸切すればリードフリーで過ごせます。",https://www.google.com/maps/place/Pizzeria+CERVO/data=!4m2!3m1!1s0x6018e7ccfa554a29:0x6a9938bf9a56fc45,,
ESKY COFFEE By Izzy's Cafe,テラス席ワンコ🆗です,https://www.google.com/maps/place/ESKY+COFFEE+By+Izzy's+Cafe/data=!4m2!3m1!1s0x6018f57107e0e3e5:0x1ad3fbb0c840a4f2,,
Vege-Plant Cafe Bar LEBRO【レブロ】,"テラス席2卓がワンコ🆗です。
テイクアウトも豊富。生田緑地で頂くのもよい。",https://www.google.com/maps/place/Vege-Plant+Cafe+Bar+LEBRO%E3%80%90%E3%83%AC%E3%83%96%E3%83%AD%E3%80%91/data=!4m2!3m1!1s0x6018f1155a57109b:0x3b1d46f022f7e59e,,
Tiam,テラス席ワンコ🆗です,https://www.google.com/maps/place/Tiam/data=!4m2!3m1!1s0x6018fbd90a3d9ef3:0x1e81c194be5b5f8f,,
メディバル × タニタカフェ 東府中,"テラス席ワンコ🆗です。屋根ありヒーターあり。
モバイルオーダー。
ワンコ同伴はルールがいろいろ決められてるので要確認。
床下かカートのみ🆗、イス上と飼い主膝上は🆖。",https://www.google.com/maps/place/%E3%83%A1%E3%83%87%E3%82%A3%E3%83%90%E3%83%AB+%C3%97+%E3%82%BF%E3%83%8B%E3%82%BF%E3%82%AB%E3%83%95%E3%82%A7+%E6%9D%B1%E5%BA%9C%E4%B8%AD/data=!4m2!3m1!1s0x6018e50052c5fb33:0x4cff8fc2c4999289,,
中華ダイニング いろは,"店内ワンコ🆗です
看板犬でマルプーちゃんいます",https://www.google.com/maps/place/%E4%B8%AD%E8%8F%AF%E3%83%80%E3%82%A4%E3%83%8B%E3%83%B3%E3%82%B0+%E3%81%84%E3%82%8D%E3%81%AF/data=!4m2!3m1!1s0x6018e5a7b2bbafff:0xbfe736cb276a946,,
Café Brico,"インナーテラス席がワンコ🆗です。
屋根付き、ヒーターあり。",https://www.google.com/maps/place/Caf%C3%A9+Brico/data=!4m2!3m1!1s0x6018e5f2c9fb867d:0xabe7e23dc06057df,,
アンオフィシャル,外席ワンコ🆗、購入した生洋菓子・焼き菓子等のイートインやドリンクメニューあり,https://www.google.com/maps/place/%E3%82%A2%E3%83%B3%E3%82%AA%E3%83%95%E3%82%A3%E3%82%B7%E3%83%A3%E3%83%AB/data=!4m2!3m1!1s0x6018e529e358007d:0xbf2e7e27a64f9b46,,
